score
5335
7784
9024
9803
10656
11204
11544
12258
12891
13286
13829
14525
14756
15637
15968
16027
17209
17451
17719
17247
18162
18402
18720
19239
19320
19724
19778
19986
20073
20594
21175
21056
21310
21592
21902
21693
22439
22201
21927
22625
23178
23590
23846
23834
24191
23767
24508
25394
24296
24901
26208
25691
25856
25893
26071
26711
26694
27525
28443
27793
28228
28656
29239
29216
29657
29662
29392
29956
30120
30626
31781
31027
31670
32128
31784
32407
32343
32229
33022
33939
33223
33973
33614
33300
33966
33904
33926
34838
34897
35921
34713
35306
35774
35545
35143
36469
35600
36270
36642
36994
36841
37266
37476
37092
37706
37817
37941
38557
38844
38339
39497
39457
38467
39358
39222
38834
39346
40056
39237
40277
41494
41299
40079
42560
42191
41853
40858
41118
43832
41628
42452
42438
43144
42482
43034
42772
43251
42352
43431
43037
43053
42562
42327
44213
44302
44279
44844
44311
44085
44787
45255
45163
43399
45194
44766
44900
46596
45454
46366
45902
46096
46825
46738
47218
45905
47513
48343
46751
46874
46612
47704
47699
47737
47135
49346
47412
47816
49101
49064
49564
48576
49554
48748
50279
48854
49001
49630
49948
49089
49518
52236
49677
52502
50232
50765
52215
51710
51031
51054
50529
51165
52081
51515
53503
52504
51566
53585
53297
52933
53446
53789
51897
51728
53742
53913
55055
53319
52862
54803
54581
54543
53996
54044
56412
56437
55232
54723
55497
55173
55671
53016
57186
55199
56181
55170
55666
55925
56691
56193
56521
56711
55881
57113
55474
57314
57271
57961
57814
57829
56345
57288
58324
57626
57124
58983
58115
57626
57987
58838
59620
59116
59217
58057
60070
60811
58651
59813
59817
59946
60391
59715
60618
58685
60634
59462
61160
60248
61104
60350
61991
61404
60768
59720
62429
62039
61742
63695
61502
62664
61219
61784
62731
60975
61192
61554
62388
62500
63654
63601
64907
63418
63681
64099
63092
64762
63640
64844
63499
64722
62831
63742
65800
63525
64264
63922
64607
65062
64445
65496
66986
63642
64820
67176
64476
66111
66281
66026
67392
65935
64017
66114
66265
67094
66391
65766
66099
66068
66547
65262
65772
68086
67994
67799
69842
67338
67805
69104
68227
66186
68127
69406
67936
69733
68604
70349
69713
69280
69069
69949
70084
72886
68890
69188
68169
68570
71566
70886
71170
70685
73037
71090
71918
72868
71973
72505
69003
72188
70761
71585
71445
72906
72507
70704
72796
74405
71815
72244
74141
73446
71809
72032
73199
72919
73803
72473
73054
74078
72644
73744
74839
74677
75274
73503
74182
73651
75395
75707
72751
76664
74285
77433
75597
75978
74589
74471
75660
74443
73502
75992
76083
75350
76503
76309
78055
78274
77376
76634
78237
77465
77758
76039
78357
78022
77912
76265
79171
78632
79541
78062
77648
78073
77744
79508
79523
77677
78064
78331
81391
78252
79524
79645
79119
78909
78199
80666
82069
79587
81304
80622
80324
80219
82873
80743
83382
81189
81808
82464
81580
81256
81604
80902
84189
82705
82375
83064
80842
84579
83300
81025
83023
83193
82724
83286
82947
82225
82751
84278
84733
82954
83972
86400
82530
81418
86099
82125
84398
80956
84339
86821
85317
